order,id,name,hex,opacity,finish,collection,price
1,v1-01,01. Pure Sunshine,#CC7D62,0.68,glossy,Mirror Mirror Water Tint,169000
2,v1-02,02. Rose Dew,#B82040,0.75,glossy,Mirror Mirror Water Tint,169000
3,v1-03,03. Poinsettia Cranberry,#8E1A28,0.80,glossy,Mirror Mirror Water Tint,169000
4,v1-04,04. Cinnamon Apple,#9E3028,0.78,glossy,Mirror Mirror Water Tint,169000
5,v1-05,05. Sepia Amber,#B85F2A,0.72,glossy,Mirror Mirror Water Tint,169000
6,v2-01,06. Your Crush,#CC2850,0.80,glossy,Mirror Mirror Water Tint,169000
7,v2-02,07. Iconic Coral,#C85035,0.72,glossy,Mirror Mirror Water Tint,169000
8,v2-03,08. My Own Nude,#C07858,0.65,glossy,Mirror Mirror Water Tint,169000
9,v2-04,09. Baby Rosy,#E88A78,0.62,glossy,Mirror Mirror Water Tint,169000
10,v2-05,10. No Cap,#CC6078,0.70,glossy,Mirror Mirror Water Tint,169000
11,v3-11,11. Morning Glow,#E07A68,0.68,glossy,Mirror Mirror Water Tint,169000
12,v3-12,12. Payday,#D07058,0.72,glossy,Mirror Mirror Water Tint,169000
13,v3-13,13. On The Date,#E88A78,0.65,glossy,Mirror Mirror Water Tint,169000
14,v3-14,14. Me Time,#C87060,0.68,glossy,Mirror Mirror Water Tint,169000
15,v3-15,15. Gossiping,#F0A0B5,0.62,glossy,Mirror Mirror Water Tint,169000
16,v3-16,16. Left No Crumbs,#D87268,0.68,glossy,Mirror Mirror Water Tint,169000
